,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11597,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19720325.0,19720325.0,False,,1,,,,2024-07-14T22:31:00.000Z,60982.46901346906,24000260688.756844,67.7878,0.16457276,4.47644324,7.8269599,-7.53349843,-7.86303051,-3.44511545,1202594108248.0393,53.782,1280631849282.85,,2024-07-14T22:31:00.000Z,,,,,,2024-07-14 19:33:54.598552
1,1027,Ethereum,ETH,ethereum,9132,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120215726.06015156,120215726.06015156,True,,2,,,,2024-07-14T22:31:00.000Z,3254.1323038463497,11100679158.851526,45.2929,0.67379316,3.35972706,10.00749444,-6.20761704,7.72659956,4.68526081,391197877602.6827,17.495,391197877602.68,,2024-07-14T22:31:00.000Z,,,,,,2024-07-14 19:33:54.598552
2,825,Tether USDt,USDT,tether,91528,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112466925458.78345,116072162582.33752,True,,3,,,,2024-07-14T22:31:00.000Z,1.0004252747829565,43174616420.50878,39.4866,0.01682491,0.01336159,0.05447529,0.10431516,-0.02034627,0.00892694,112514754806.09772,5.0341,116121525146.09,,2024-07-14T22:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-14 19:33:54.598552
3,1839,BNB,BNB,bnb,2192,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147582260.27315888,147582260.27315888,False,,4,,,,2024-07-14T22:31:00.000Z,545.3174907927638,1516683571.243546,11.0082,0.615134,3.19782846,9.83843166,-9.22879038,-6.93963737,-1.78492076,80479187857.6836,3.6008,80479187857.68,,2024-07-14T22:31:00.000Z,,,,,,2024-07-14 19:33:54.598552
4,5426,Solana,SOL,solana,701,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,464059273.9774874,580139631.2545595,True,,5,,,,2024-07-14T22:31:00.000Z,147.1105508474871,2115757693.3845654,125.1014,-0.1170754,5.4914903,9.53416214,3.15534732,-5.87565167,6.2126935,68268015420.713104,3.0544,85344660722.32,,2024-07-14T22:31:00.000Z,,,,,,2024-07-14 19:33:54.598552
5,3408,USDC,USDC,usd-coin,20950,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,33953608292.031208,33953608292.031208,False,,6,,,,2024-07-14T22:31:00.000Z,1.0000558484979245,4521026337.795085,62.4832,0.01074335,-0.0044494,0.00805266,0.01150879,-0.00297308,-0.00108951,33955504550.053436,1.5192,33955504550.05,,2024-07-14T22:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-14 19:33:54.598552
6,52,XRP,XRP,xrp,1352,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55805339473.0,99987452475.0,False,,7,,,,2024-07-14T22:32:00.000Z,0.5271433546080649,1667331777.71989,-38.4945,-0.55364651,-0.37924138,24.23185152,11.29675751,1.82491143,6.65457201,29417413854.839085,1.3136,52714335460.81,,2024-07-14T22:32:00.000Z,,,,,,2024-07-14 19:33:54.598552
7,11419,Toncoin,TON,toncoin,458,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2506938358.6147456,5108989060.911147,True,,8,3414166606.0,25199685180.278156,,2024-07-14T22:31:00.000Z,7.380918416808555,176902664.8636691,16.5277,0.25484701,1.37927465,3.17006207,-9.87908469,5.88930007,11.06218471,18503507500.903385,0.8279,37709031450.95,,2024-07-14T22:31:00.000Z,,,,,,2024-07-14 19:33:54.598552
8,74,Dogecoin,DOGE,dogecoin,1022,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145117456383.70523,145117456383.70523,True,,9,,,,2024-07-14T22:32:00.000Z,0.11519531280515721,541890527.2812413,18.0207,0.93592461,3.51858784,9.07683487,-14.34634369,-26.15387606,-27.76250163,16716850781.609682,0.7465,16716850781.61,,2024-07-14T22:32:00.000Z,,,,,,2024-07-14 19:33:54.598552
9,2010,Cardano,ADA,cardano,1212,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35881016713.037,37048613783.371,False,,10,,,,2024-07-14T22:31:00.000Z,0.4326646307526451,371194930.1681509,7.2095,-1.2749882,-1.4578536,22.9607083,5.2386493,-4.5072855,-5.17556585,15524446847.175642,0.6946,19469908383.87,,2024-07-14T22:31:00.000Z,,,,,,2024-07-14 19:33:54.598552
